generation,best_fitness,average_fitness,worst_fitness
0,1755.500000,1319.618056,411.666667
1,1755.500000,1532.347222,1161.833333
2,1789.666667,1538.270833,1148.833333
3,1789.666667,1530.368056,1194.333333
4,1838.666667,1606.222222,1474.500000
5,1838.666667,1619.416667,1338.500000
6,1838.666667,1632.111111,1338.833333
7,1838.666667,1655.138889,1197.000000
8,1838.666667,1686.388889,1512.333333
9,1838.666667,1639.166667,1242.333333
10,1839.333333,1670.701389,1338.500000
11,1839.333333,1666.833333,1542.500000
12,1839.333333,1693.125000,1513.000000
13,1839.333333,1706.701389,1338.500000
14,1839.333333,1724.479167,1497.000000
15,1839.333333,1656.041667,1301.666667
16,1839.333333,1739.152778,1338.833333
17,1840.666667,1804.847222,1586.333333
18,1840.666667,1801.840278,1545.500000
19,1840.666667,1779.444444,1547.500000
20,1840.666667,1700.819444,1300.000000
21,1840.666667,1753.097222,1547.500000
22,1840.666667,1758.388889,1547.500000
23,1840.666667,1763.159722,1545.500000
